timestamp,request_id,agency,provider,flow_type,status_code,error_category,response_time_seconds,result
06/12/2025 16:02:47,REQ-921345671,Revolut,Hotelbeds,Prebook,200,,1.23,SUCCESS
05/12/2025 16:02:47,REQ-921345672,Revolut,Hotelbeds,Book,500,Upstream Error,3.85,ERROR
04/12/2025 16:02:47,REQ-921345673,Hopper,Agoda,Valuation,200,,1.87,SUCCESS
03/12/2025 16:02:47,REQ-921345674,Snap,GOGlobal,Prebook,408,Timeout,4.12,ERROR
02/12/2025 16:02:47,REQ-921345675,Traveloka,Expedia,Book,201,,0.98,SUCCESS
01/12/2025 16:02:47,REQ-921345676,BookingPartner,DOTW,Prebook,403,Authentication Failed,2.14,ERROR
30/11/2025 16:02:47,REQ-921345677,Revolut,Agoda,Valuation,200,,1.11,SUCCESS
29/11/2025 16:02:47,REQ-921345678,Hopper,Expedia,Book,429,Rate Limit,3.55,ERROR
28/11/2025 16:02:47,REQ-921345679,Snap,GOGlobal,Prebook,200,,0.97,SUCCESS
27/11/2025 16:02:47,REQ-921345680,Traveloka,Hotelbeds,Book,502,Upstream Error,4.20,ERROR
26/11/2025 16:02:47,REQ-921345671,Revolut,Hotelbeds,Prebook,200,,1.23,SUCCESS
25/11/2025 16:02:47,REQ-921345672,Revolut,Hotelbeds,Book,500,Upstream Error,3.85,ERROR
24/11/2025 16:02:47,REQ-921345673,Hopper,Agoda,Valuation,200,,1.87,SUCCESS
23/11/2025 16:02:47,REQ-921345674,Snap,GOGlobal,Prebook,408,Timeout,4.12,ERROR
22/11/2025 16:02:47,REQ-921345675,Traveloka,Expedia,Book,201,,0.98,SUCCESS
21/11/2025 16:02:47,REQ-921345676,BookingPartner,DOTW,Prebook,403,Authentication Failed,2.14,ERROR
20/11/2025 16:02:47,REQ-921345677,Revolut,Agoda,Valuation,200,,1.11,SUCCESS
19/11/2025 16:02:47,REQ-921345678,Hopper,Expedia,Book,429,Rate Limit,3.55,ERROR
18/11/2025 16:02:47,REQ-921345679,Snap,GOGlobal,Prebook,200,,0.97,SUCCESS
17/11/2025 16:02:47,REQ-921345671,Revolut,Hotelbeds,Prebook,200,,1.23,SUCCESS
16/11/2025 16:02:47,REQ-921345672,Revolut,Hotelbeds,Book,500,Upstream Error,3.85,ERROR
15/11/2025 16:02:47,REQ-921345673,Hopper,Agoda,Valuation,200,,1.87,SUCCESS
14/11/2025 16:02:47,REQ-921345674,Snap,GOGlobal,Prebook,408,Timeout,4.12,ERROR
13/11/2025 16:02:47,REQ-921345675,Traveloka,Expedia,Book,201,,0.98,SUCCESS
12/11/2025 16:02:47,REQ-921345676,BookingPartner,DOTW,Prebook,403,Authentication Failed,2.14,ERROR
11/11/2025 16:02:47,REQ-921345677,Revolut,Agoda,Valuation,200,,1.11,SUCCESS
10/11/2025 16:02:47,REQ-921345678,Hopper,Expedia,Book,429,Rate Limit,3.55,ERROR
09/11/2025 16:02:47,REQ-921345679,Snap,GOGlobal,Prebook,200,,0.97,SUCCESS
08/11/2025 16:02:47,REQ-921345680,Traveloka,Hotelbeds,Book,502,Upstream Error,4.20,ERROR
07/11/2025 16:02:47,REQ-921345671,Revolut,Hotelbeds,Prebook,200,,1.23,SUCCESS
06/11/2025 16:02:47,REQ-921345672,Revolut,Hotelbeds,Book,500,Upstream Error,3.85,ERROR
05/11/2025 16:02:47,REQ-921345673,Hopper,Agoda,Valuation,200,,1.87,SUCCESS
04/11/2025 16:02:47,REQ-921345674,Snap,GOGlobal,Prebook,408,Timeout,4.12,ERROR
03/11/2025 16:02:47,REQ-921345675,Traveloka,Expedia,Book,201,,0.98,SUCCESS
02/11/2025 16:02:47,REQ-921345676,BookingPartner,DOTW,Prebook,403,Authentication Failed,2.14,ERROR
